Date,Expense,Category,Amount,Barcode
Sunday 6/8/17,Bus,Transportation,-TND4.70,
Sunday 6/8/17,Taxi,Transportation,-TND1.85,
Sunday 6/8/17,Tomatoes,Food,-TND0.28,
Sunday 6/8/17,Green pepper,Food,-TND0.30,
Sunday 6/8/17,Sugar,Food,-TND0.69,
Sunday 6/8/17,Black pepper,Food,-TND0.67,
Sunday 6/8/17,Persil,Food,-TND0.29,
Sunday 6/8/17,Lettuce Chico,Food,-TND0.73,
Sunday 6/8/17,Butter,Food,-TND2.04,
Sunday 6/8/17,Creme fraiche,Food,-TND0.84,
Sunday 6/8/17,Mozarella,Food,-TND1.74,
Sunday 6/8/17,Red onion,Food,-TND0.32,
Sunday 6/8/17,White onion,Food,-TND0.50,
Sunday 6/8/17,Carrots,Food,-TND0.28,
Sunday 6/8/17,Potatoes,Food,-TND0.57,
Sunday 6/8/17,Seasame seeds,Food,-TND1.92,
Sunday 6/8/17,Baking paper,Household,-TND3.75,
Sunday 6/8/17,Toilet cleaner,Household,-TND2.39,
Sunday 6/8/17,Milk,Food,-TND1.12,
Sunday 6/8/17,Eggs,Food,-TND1.16,
Sunday 6/8/17,Water,Food,-TND3.80,
Sunday 6/8/17,Bread,Food,-TND0.20,
Sunday 6/8/17,Savings,Savings,-TND10.00,
Monday 7/8/17,Bus,Transportation,-TND0.65,
Monday 7/8/17,Public taxi,Transportation,-TND1.20,
Tuesday 8/8/17,Bus,Transportation,-TND0.65,
Tuesday 8/8/17,Bus,Transportation,-TND0.65,
Tuesday 8/8/17,Bread,Food,-TND0.35,
Wednesday 9/8/17,Salad,Food,-TND4.80,
Wednesday 9/8/17,Soda,Food,-TND1.50,
