Date,Item,Monetary value,Quantity,Unit,Brand,Payee,Week
19/02/2017,Income,45.00din,,,,,8
19/02/2017,Milk,-1.12din,1,L,Délice,Grocery,8
19/02/2017,Butter,-0.95din,100,g,Délice,Grocery,8
19/02/2017,TicTac,-1.04din,1,,TicTac,Carrefour,8
19/02/2017,Sugar,-1.51din,1000,g,,Carrefour,8
19/02/2017,Cayenne pepper,-1.90din,1,,Zgolli,Carrefour,8
19/02/2017,Potatoes,-1.39din,1418,g,,Carrefour,8
19/02/2017,Tomatoes,-0.59din,393,g,,Carrefour,8
19/02/2017,Public transportation,-4.70din,,,,,8
19/02/2017,Taxi,-1.80din,,,,,8
20/02/2017,Chapati,-1.80din,1,,,,8
20/02/2017,Bread,-0.35din,1,,,,8
20/02/2017,Seeds,-0.30din,,,,,8
21/02/2017,Bread,-0.30din,1,,,Bakery,8
21/02/2017,Eggs,-0.70din,4,,,Grocery,8
21/02/2017,Public transportation,-1.10din,,,,,8
21/02/2017,Public transportation,-1.10din,,,,,8
21/02/2017,Chicha,-1.50din,,,,,8
21/02/2017,Tea,-1.00din,,,,,8
21/02/2017,Taxi,-0.75din,,,,,8
21/02/2017,Spice mix,-1.76din,100,g,Khabia,Carrefour,8
21/02/2017,Buttermilk,-0.92din,450,g,Délice,Carrefour,8
21/02/2017,Capres,-1.40din,0.064,Kg,,Carrefour,8
21/02/2017,Oriental bread,-1.40din,5,,,Carrefour,8
22/02/2017,Milk,-1.12din,1,L,Natilait,Grocery,8
22/02/2017,Chapati,-1.50din,1,,,,8
22/02/2017,Bread,-0.30din,1,,,,8
22/02/2017,Lentils,-1.15din,162,g,,Magasin général,8
22/02/2017,Beans,-0.59din,152,g,,Magasin général,8
23/02/2017,Carrots,-0.20din,,,,Green Grocer,8
23/02/2017,Spring onion ,-0.90din,,,,Green Grocer,8
23/02/2017,Kafteji,-1.50din,1,,,,8
23/02/2017,Pumpkin,-0.95din,,,,Carrefour,8
24/02/2017,Cigarettes,-1.20din,4,,Royal light,,8
24/02/2017,Bananas,-1.65din,,,,Green Grocer,8
24/02/2017,Sweet harissa,-1.20din,2,,,,8
25/02/2017,Public transportation,-1.10din,,,,,8
25/02/2017,Public transportation,-4.15din,,,,,8
25/02/2017,Income,3.50din,,,,,8
26/02/2017,Income,230.50din,,,,,9
26/02/2017,Public transportation ,-4.70din,,,,,9
26/02/2017,Taxi,-1.90din,,,,,9
27/02/2017,Kafteji,-1.50din,,,,,9
27/02/2017,Candy,-1.50din,,,,,9
28/02/2017,Wafers,-0.57din,,,,,9
28/02/2017,Wafers,-0.57din,,,,,9
28/02/2017,Milk,-1.12din,1,L,Délice,Carrefour,9
28/02/2017,Salami,-2.15din,,,,Carrefour,9
28/02/2017,Carrots,-0.28din,,,,Carrefour,9
28/02/2017,Pepper,-0.64din,,,,Carrefour,9
28/02/2017,Orange,-1.50din,,,,,9
01/03/2017,Public transportation,-0.60din,,,,,9
01/03/2017,Penalty,-25.00din,,,,,9
01/03/2017,Public transportation,-1.10din,,,,,9
01/03/2017,Malsouka,-0.90din,9,Sheet,,Carrefour,9
01/03/2017,Bread,-0.30din,,,,,9
04/03/2017,Makloub,-3.50din,,,,,9
04/03/2017,Seeds ,-0.50din,,,,,9
04/03/2017,Rent,-150.00din,,,,,9
05/03/2017,Public transportation ,-1.10din,,,,,10
05/03/2017,Instant coffee,-1.80din,,,Nescafé,Carrefour,10
05/03/2017,Flour,-1.33din,,,,Carrefour,10
05/03/2017,Yogurt,-0.72din,2,,Délice,Carrefour,10
05/03/2017,Milk,-1.12din,1,L,Délice,Carrefour,10
05/03/2017,Butter,-1.87din,200,g,Délice,Carrefour,10
05/03/2017,Buttermilk,-0.92din,450,g,Délice,Carrefour,10
05/03/2017,Pumpkin,-0.79din,418,g,,Carrefour,10
05/03/2017,Cheese,-1.94din,,,,Carrefour,10
05/03/2017,Potatoes,-0.96din,975,g,,Carrefour,10
05/03/2017,Tomatoes,-0.94din,545,g,,Carrefour,10
05/03/2017,Bread,-0.40din,2,,,,10
06/03/2017,Orange,-1.50din,,,,,10
06/03/2017,Sandwich,-1.50din,,,,,10
07/03/2017,Eggs,-0.65din,4,,,,10
07/03/2017,Bread,-0.20din,,,,,10
08/03/2017,Sandwich,-1.80din,,,,,10
08/03/2017,Sandwich,-5.20din,,,,Pizza One,10
09/03/2017,Sandwich,-1.50din,,,,,10
09/03/2017,Sandwich,-1.50din,,,,,10
09/03/2017,Cigarettes,-0.60din,2,,,,10
10/03/2017,Sandwich,-1.70din,,,,,10
10/03/2017,Printing,-0.20din,,,,,10
11/03/2017,Public transportation,-4.70din,,,,,10
11/03/2017,Public transportation,-1.10din,,,,,10
11/03/2017,Income,5.00din,,,,,10
12/03/2017,Income,40.00din,,,,,11
12/03/2017,Public transportation,-4.70din,,,,,11
12/03/2017,Taxi,-1.80din,,,,,11
12/03/2017,Taxi,-0.40din,,,,,11
12/03/2017,Taxi,-0.35din,,,,,11
12/03/2017,Baby wipes,-2.75din,,,Carrefour,Carrefour,11
12/03/2017,Yogurt,-0.72din,2,unit,Délice,Carrefour,11
12/03/2017,Buttermilk,-0.92din,450,g,Délice,Carrefour,11
12/03/2017,Madeleine,-1.79din,,,,Carrefour,11
12/03/2017,Malsouka,-0.97din,,,,Carrefour,11
12/03/2017,Carrots,-0.35din,212,g,,Carrefour,11
12/03/2017,Pumpkin,-1.05din,553,g,,Carrefour,11
12/03/2017,Tomatoes,-1.18din,513,g,,Carrefour,11
12/03/2017,Onions,-0.51din,428,g,,Carrefour,11
12/03/2017,Wipes,-0.98din,1,unit,,Grocery,11
12/03/2017,Oranges,-2.00din,5000,g,,Grocery,11
13/03/2017,Eggs,-0.65din,4,unit,,,11
14/03/2017,Soufflé,-1.20din,,,,,11
14/03/2017,Bread,-0.20din,,,,,11
15/03/2017,Gaz,-3.70din,,,,,11
16/03/2017,Sandwich,-1.50din,,,,,11
17/03/2017,Water,-0.45din,,,,,11
17/03/2017,Sandwich,-3.00din,,,,,11
17/03/2017,Sandwich,-1.70din,,,,,11
17/03/2017,Printing,-0.20din,,,,,11
18/03/2017,Taxi,-1.65din,,,,,11
18/03/2017,Public transportation,-4.70din,,,,,11
27/03/2017,Income,331.00din,,,,,13
27/03/2017,Public transportation,-4.70din,,,,,13
27/03/2017,Taxi,-2.00din,,,,,13
27/03/2017,Fricassé,-0.50din,,,,,13
27/03/2017,Doctor,-30.00din,,,,,13
27/03/2017,Tomato paste,-1.34din,1500,g,Jouda,Carrefour,13
27/03/2017,Yogurt,-0.72din,2,unit,Délice,Carrefour,13
27/03/2017,Butter,-1.87din,200,g,Délice,Carrefour,13
27/03/2017,Garlic,-2.89din,194,g,,Carrefour,13
27/03/2017,Onions,-1.66din,1404,g,,Carrefour,13
27/03/2017,Pepper,-1.02din,296,g,,Carrefour,13
27/03/2017,Potatoes,-1.66din,1406,g,,Carrefour,13
27/03/2017,Pumpkin,-0.93din,494,g,,Carrefour,13
27/03/2017,Tomatoes,-1.84din,614,g,,Carrefour,13
27/03/2017,Mug,-2.99din,1,unit,,Carrefour,13
27/03/2017,Bag,-0.29din,1,unit,,Carrefour,13
27/03/2017,Eggs,-2.25din,18,unit,,Grocery,13
27/03/2017,Taxi,-1.00din,,,,,13
27/03/2017,Bus,-0.40din,,,,,13
