"Timestamp","Item","Payment method","Category","Amount","Quantity","Unit","Payee","Brand","Date"
"2017/10/14 12:21:18 am GMT","dummy","","Savings","2","","","sldkf","","2017-10-14"
"2017/10/14 11:39:59 am GMT","Milk","","Food","1.120","1","L","Grocer","Délice","2017-10-14"
"2017/10/14 11:56:47 am GMT","Sandwich","","Food","3.1","1","unit","Sain'dwich","","2017-10-15"
"2017/10/15 7:28:39 am GMT","Transportation","Cash","Transportation","4.7","","","SRTGN","","2017-10-15"
"2017/10/15 10:24:50 am GMT","Aluminium foil","Cash","Household","4.560","20","m","Carrefour","Alufoil","2017-10-15"
"2017/10/15 10:25:33 am GMT","Baby wipes","Cash","Household","3.4","80","u","Carrefour","Carrefour","2017-10-15"
"2017/10/15 10:26:12 am GMT","Buttermilk","Cash","Food",".92","450","g","Carrefour","Délice","2017-10-15"
"2017/10/15 10:26:52 am GMT","Raieb","Cash","Food",".92","450","g","Carrefour","Délice","2017-10-15"
"2017/10/15 10:27:23 am GMT","Puff pastry","Cash","Food","4.3","500","g","Carrefour","","2017-10-15"
"2017/10/15 10:28:32 am GMT","Gryuere","Cash","Food","3.775","88","g","Carrefour","Souani","2017-10-15"
"2017/10/15 10:29:17 am GMT","Garlic","Cash","Food","1.07","108","g","Carrefour","","2017-10-15"
"2017/10/15 10:29:57 am GMT","Carrots","Cash","Food",".75","419","g","Carrefour","","2017-10-15"
"2017/10/15 10:30:43 am GMT","Courgette","Cash","Food","1.265","395","g","Carrefour","","2017-10-15"
"2017/10/15 10:31:39 am GMT","Green onion","Cash","Food","1.905","1198","g","Carrefour","","2017-10-15"
"2017/10/15 10:32:18 am GMT","Parsley","Cash","Food",".62","207","g","Carrefour","","2017-10-15"
"2017/10/15 10:32:57 am GMT","Pumpkin","Cash","Food","1.11","568","g","Carrefour","","2017-10-15"
"2017/10/15 3:13:50 pm GMT","Taxi","Cash","Transportation","1.8","","","Taxi","","2017-10-15"
"2017/10/16 1:29:35 pm GMT","Crackers","Cash","Food",".7","1","unit","Grocer","Tuc","2017-10-16"
"2017/10/17 3:13:35 pm GMT","Milk","Cash","Food","1.12","1","L","Grocer","Natilait","2017-10-17"
"2017/10/19 3:07:27 am GMT","Eggs","Cash","Food",".63","4","Unit","Grocer","","2017-10-18"
"2017/10/22 8:53:33 am GMT","Taxi","Cash","Transportation","1.8","","","Taxi","","2017-10-22"
"2017/10/22 8:54:02 am GMT","Public transportation","Cash","Transportation","4.7","","","Public transportation","","2017-10-22"
"2017/11/17 7:47:56 pm GMT","Taxi","Cash","Transportation","5.2","","","Taxi","","2017-11-16"
"2017/11/17 7:48:20 pm GMT","Taxi","Cash","Transportation","5.3","","","Taxi","","2017-11-16"
"2017/11/17 7:49:04 pm GMT","Sandwich kafteji","Cash","Food","1.7","1","unit","Restaurant","","2017-11-16"
"2017/11/17 7:50:09 pm GMT","Public transportation","Cash","Transportation","4.15","","","Public transportation","","2017-11-17"
